source_id,title,file_name,relative_path,absolute_path,sha256,file_size_bytes,modified_utc,source_priority,source_type,disclosure_level,origin,author_or_owner,date_created,date_accessed,jurisdiction,license_status,confidentiality_notes,pii_status,verification_status,ingestion_status,legal_review_status,wet_lab_validation_status,provenance,summary,evidence_label,risk_flags,allowed_use_cases,prohibited_use_cases
ASP-P0-0EC15B71AE22,Asperitas Operating System v8.0 (2),Asperitas Operating System v8.0 (2).pdf,01_RAW_SOURCES/P0_ACTIVE_PROMPT/Asperitas Operating System v8.0 (2).pdf,C:\Users\jbc89\OneDrive\Pictures\바탕 화면\asperitas-agent\01_RAW_SOURCES\P0_ACTIVE_PROMPT\Asperitas Operating System v8.0 (2).pdf,0ec15b71ae22f419db67a640975deef4cabcc764772b4487fa6063ab00910d70,413065,2026-06-08T17:23:27.199195+00:00,P0,prompt,restricted,uploaded,,,2026-06-11,unknown,restricted,Default classification from source priority and repository path: restricted.,unknown,partially_verified,chunked,not_reviewed,not_applicable,01_RAW_SOURCES/P0_ACTIVE_PROMPT/Asperitas Operating System v8.0 (2).pdf,Registered local source file classified as P0/prompt with restricted disclosure. Content claims require retrieval-level citation.,Document-Supported Fact,external_comm,agent_development|operations|rag|historical_context,public|external_unapproved
ASP-P0-1C948A1A1B92,Asperitas Operating System v9.0,Asperitas Operating System v9.0.pdf,01_RAW_SOURCES/P0_ACTIVE_PROMPT/Asperitas Operating System v9.0.pdf,C:\Users\jbc89\OneDrive\Pictures\바탕 화면\asperitas-agent\01_RAW_SOURCES\P0_ACTIVE_PROMPT\Asperitas Operating System v9.0.pdf,1c948a1a1b9203aa0874fea20d5c66b02a75b05358819c352903419e63fd69aa,427794,2026-06-08T17:23:29.434886+00:00,P0,prompt,restricted,uploaded,,,2026-06-11,unknown,restricted,Default classification from source priority and repository path: restricted.,unknown,partially_verified,chunked,not_reviewed,not_applicable,01_RAW_SOURCES/P0_ACTIVE_PROMPT/Asperitas Operating System v9.0.pdf,Registered local source file classified as P0/prompt with restricted disclosure. Content claims require retrieval-level citation.,Document-Supported Fact,external_comm,agent_development|operations|rag|historical_context,public|external_unapproved
ASP-P0-2E37CA74827B,Asperitas_AOS_v10_0_Prompt,Asperitas_AOS_v10_0_Prompt.pdf,01_RAW_SOURCES/P0_ACTIVE_PROMPT/Asperitas_AOS_v10_0_Prompt.pdf,C:\Users\jbc89\OneDrive\Pictures\바탕 화면\asperitas-agent\01_RAW_SOURCES\P0_ACTIVE_PROMPT\Asperitas_AOS_v10_0_Prompt.pdf,2e37ca74827bb5e0e64f961f87df05ecd1f2181439755690926779b2b93e818b,321455,2026-06-09T15:24:44.346836+00:00,P0,prompt,restricted,uploaded,,,2026-06-11,unknown,restricted,Default classification from source priority and repository path: restricted.,unknown,partially_verified,chunked,not_reviewed,not_applicable,01_RAW_SOURCES/P0_ACTIVE_PROMPT/Asperitas_AOS_v10_0_Prompt.pdf,Registered local source file classified as P0/prompt with restricted disclosure. Content claims require retrieval-level citation.,Document-Supported Fact,external_comm,agent_development|operations|rag|historical_context,public|external_unapproved
ASP-P0-0B45C6C438A3,Asperitas_AOS_v10_2_Universal_AI_Tool_Master_Prompt,Asperitas_AOS_v10_2_Universal_AI_Tool_Master_Prompt.md,01_RAW_SOURCES/P0_ACTIVE_PROMPT/Asperitas_AOS_v10_2_Universal_AI_Tool_Master_Prompt.md,C:\Users\jbc89\OneDrive\Pictures\바탕 화면\asperitas-agent\01_RAW_SOURCES\P0_ACTIVE_PROMPT\Asperitas_AOS_v10_2_Universal_AI_Tool_Master_Prompt.md,0b45c6c438a36bee835f58daf1c641827709c16c234e6709e79e81df44a8c70f,1505,2026-06-09T17:08:00.859821+00:00,P0,prompt,restricted,uploaded,,,2026-06-11,unknown,restricted,Default classification from source priority and repository path: restricted.,unknown,partially_verified,chunked,not_reviewed,not_applicable,01_RAW_SOURCES/P0_ACTIVE_PROMPT/Asperitas_AOS_v10_2_Universal_AI_Tool_Master_Prompt.md,Registered local source file classified as P0/prompt with restricted disclosure. Content claims require retrieval-level citation.,Document-Supported Fact,external_comm,agent_development|operations|rag|historical_context,public|external_unapproved
ASP-P0-30B348BF8B7F,Asperitas_AOS_v10_2_Universal_Prompt_And_Codex_Agent_Constitution,Asperitas_AOS_v10_2_Universal_Prompt_And_Codex_Agent_Constitution.pdf,01_RAW_SOURCES/P0_ACTIVE_PROMPT/Asperitas_AOS_v10_2_Universal_Prompt_And_Codex_Agent_Constitution.pdf,C:\Users\jbc89\OneDrive\Pictures\바탕 화면\asperitas-agent\01_RAW_SOURCES\P0_ACTIVE_PROMPT\Asperitas_AOS_v10_2_Universal_Prompt_And_Codex_Agent_Constitution.pdf,30b348bf8b7fd9d4340d37f141041c5374a8073df888af420359d20404758e10,160189,2026-06-09T17:07:57.497569+00:00,P0,prompt,restricted,uploaded,,,2026-06-11,unknown,restricted,Default classification from source priority and repository path: restricted.,unknown,partially_verified,chunked,not_reviewed,not_applicable,01_RAW_SOURCES/P0_ACTIVE_PROMPT/Asperitas_AOS_v10_2_Universal_Prompt_And_Codex_Agent_Constitution.pdf,Registered local source file classified as P0/prompt with restricted disclosure. Content claims require retrieval-level citation.,Document-Supported Fact,external_comm,agent_development|operations|rag|historical_context,public|external_unapproved
ASP-P0-593FAD23CB9A,Asperitas_AOS_v10_3_Codex_AGENTS,Asperitas_AOS_v10_3_Codex_AGENTS.md,01_RAW_SOURCES/P0_ACTIVE_PROMPT/Asperitas_AOS_v10_3_Codex_AGENTS.md,C:\Users\jbc89\OneDrive\Pictures\바탕 화면\asperitas-agent\01_RAW_SOURCES\P0_ACTIVE_PROMPT\Asperitas_AOS_v10_3_Codex_AGENTS.md,593fad23cb9a0e00d4425ba8bee6c4b623ede6138cdee3f1c9dfc2c6101787ef,2668,2026-06-09T17:08:11.298420+00:00,P0,prompt,restricted,uploaded,,,2026-06-11,unknown,restricted,Default classification from source priority and repository path: restricted.,unknown,partially_verified,chunked,not_reviewed,not_applicable,01_RAW_SOURCES/P0_ACTIVE_PROMPT/Asperitas_AOS_v10_3_Codex_AGENTS.md,Registered local source file classified as P0/prompt with restricted disclosure. Content claims require retrieval-level citation.,Document-Supported Fact,external_comm,agent_development|operations|rag|historical_context,public|external_unapproved
ASP-P0-2957F6A2A0C4,Asperitas_AOS_v10_3_Master_Format_Advanced_Prompt_Constitution,Asperitas_AOS_v10_3_Master_Format_Advanced_Prompt_Constitution.pdf,01_RAW_SOURCES/P0_ACTIVE_PROMPT/Asperitas_AOS_v10_3_Master_Format_Advanced_Prompt_Constitution.pdf,C:\Users\jbc89\OneDrive\Pictures\바탕 화면\asperitas-agent\01_RAW_SOURCES\P0_ACTIVE_PROMPT\Asperitas_AOS_v10_3_Master_Format_Advanced_Prompt_Constitution.pdf,2957f6a2a0c42e3efee200c163787113ef7a0a2505e3d8fb85bcbfdf2cb53075,55215,2026-06-09T17:08:05.738642+00:00,P0,prompt,restricted,uploaded,,,2026-06-11,unknown,restricted,Default classification from source priority and repository path: restricted.,unknown,partially_verified,chunked,not_reviewed,not_applicable,01_RAW_SOURCES/P0_ACTIVE_PROMPT/Asperitas_AOS_v10_3_Master_Format_Advanced_Prompt_Constitution.pdf,Registered local source file classified as P0/prompt with restricted disclosure. Content claims require retrieval-level citation.,Document-Supported Fact,external_comm,agent_development|operations|rag|historical_context,public|external_unapproved
ASP-P0-984903424FEE,Asperitas_AOS_v10_3_Universal_AI_Tool_Master_Prompt,Asperitas_AOS_v10_3_Universal_AI_Tool_Master_Prompt.md,01_RAW_SOURCES/P0_ACTIVE_PROMPT/Asperitas_AOS_v10_3_Universal_AI_Tool_Master_Prompt.md,C:\Users\jbc89\OneDrive\Pictures\바탕 화면\asperitas-agent\01_RAW_SOURCES\P0_ACTIVE_PROMPT\Asperitas_AOS_v10_3_Universal_AI_Tool_Master_Prompt.md,984903424feeec5c5949d1d3a2b5861e6f4968c5db64599a7d6c177196aec8a6,15297,2026-06-09T17:08:08.757392+00:00,P0,prompt,restricted,uploaded,,,2026-06-11,unknown,restricted,Default classification from source priority and repository path: restricted.,unknown,partially_verified,chunked,not_reviewed,not_applicable,01_RAW_SOURCES/P0_ACTIVE_PROMPT/Asperitas_AOS_v10_3_Universal_AI_Tool_Master_Prompt.md,Registered local source file classified as P0/prompt with restricted disclosure. Content claims require retrieval-level citation.,Document-Supported Fact,external_comm,agent_development|operations|rag|historical_context,public|external_unapproved
ASP-P0-6AC9A18AADEF,Asperitas_Codex_AI_Agent_Build_Guidebook_v1.0,Asperitas_Codex_AI_Agent_Build_Guidebook_v1.0.pdf,01_RAW_SOURCES/P0_ACTIVE_PROMPT/Asperitas_Codex_AI_Agent_Build_Guidebook_v1.0.pdf,C:\Users\jbc89\OneDrive\Pictures\바탕 화면\asperitas-agent\01_RAW_SOURCES\P0_ACTIVE_PROMPT\Asperitas_Codex_AI_Agent_Build_Guidebook_v1.0.pdf,6ac9a18aadeff68e44978c071673d56d5c7dbbb82f2d560f20222472751989e3,571765,2026-06-09T15:53:21.317628+00:00,P0,prompt,restricted,uploaded,,,2026-06-11,unknown,restricted,Default classification from source priority and repository path: restricted.,unknown,partially_verified,chunked,not_reviewed,not_applicable,01_RAW_SOURCES/P0_ACTIVE_PROMPT/Asperitas_Codex_AI_Agent_Build_Guidebook_v1.0.pdf,Registered local source file classified as P0/prompt with restricted disclosure. Content claims require retrieval-level citation.,Document-Supported Fact,external_comm,agent_development|operations|rag|historical_context,public|external_unapproved
ASP-P0-DAF4591D3E47,Asperitas_Codex_Master_Constitution_DB_Integration_Guide_v1_2,Asperitas_Codex_Master_Constitution_DB_Integration_Guide_v1_2.pdf,01_RAW_SOURCES/P0_ACTIVE_PROMPT/Asperitas_Codex_Master_Constitution_DB_Integration_Guide_v1_2.pdf,C:\Users\jbc89\OneDrive\Pictures\바탕 화면\asperitas-agent\01_RAW_SOURCES\P0_ACTIVE_PROMPT\Asperitas_Codex_Master_Constitution_DB_Integration_Guide_v1_2.pdf,daf4591d3e475b03378b4c6e649107dec387ba3cee9c7be40848345364a4d6aa,430222,2026-06-09T16:42:39.839031+00:00,P0,prompt,restricted,uploaded,,,2026-06-11,unknown,restricted,Default classification from source priority and repository path: restricted.,unknown,partially_verified,chunked,not_reviewed,not_applicable,01_RAW_SOURCES/P0_ACTIVE_PROMPT/Asperitas_Codex_Master_Constitution_DB_Integration_Guide_v1_2.pdf,Registered local source file classified as P0/prompt with restricted disclosure. Content claims require retrieval-level citation.,Document-Supported Fact,external_comm,agent_development|operations|rag|historical_context,public|external_unapproved
ASP-P0-244ACC5594B8,P0_ACTIVE_PROMPT_MASTER_CONSTITUTION,P0_ACTIVE_PROMPT_MASTER_CONSTITUTION.pdf,01_RAW_SOURCES/P0_ACTIVE_PROMPT/P0_ACTIVE_PROMPT_MASTER_CONSTITUTION.pdf,C:\Users\jbc89\OneDrive\Pictures\바탕 화면\asperitas-agent\01_RAW_SOURCES\P0_ACTIVE_PROMPT\P0_ACTIVE_PROMPT_MASTER_CONSTITUTION.pdf,244acc5594b85328bf0957e7ee645ef4f729d03a5be687222f28bbae272e8363,959899,2026-06-09T15:36:33.080114+00:00,P0,prompt,restricted,uploaded,,,2026-06-11,unknown,restricted,Default classification from source priority and repository path: restricted.,unknown,partially_verified,chunked,not_reviewed,not_applicable,01_RAW_SOURCES/P0_ACTIVE_PROMPT/P0_ACTIVE_PROMPT_MASTER_CONSTITUTION.pdf,Registered local source file classified as P0/prompt with restricted disclosure. Content claims require retrieval-level citation.,Document-Supported Fact,external_comm,agent_development|operations|rag|historical_context,public|external_unapproved
ASP-P1-BEDC13A26B09,(2019) 합성생물학 기반의 유전자회로 연구동향 (1),(2019) 합성생물학 기반의 유전자회로 연구동향 (1).pdf,01_RAW_SOURCES/P1_ASPERITAS_INTERNAL/(2019) 합성생물학 기반의 유전자회로 연구동향 (1).pdf,C:\Users\jbc89\OneDrive\Pictures\바탕 화면\asperitas-agent\01_RAW_SOURCES\P1_ASPERITAS_INTERNAL\(2019) 합성생물학 기반의 유전자회로 연구동향 (1).pdf,bedc13a26b09719b8c0f383d0d9fdce98ef4277defc6261e0f1881676fcd7403,914271,2026-06-06T15:53:25.067928+00:00,P1,internal,confidential,uploaded,,,2026-06-11,unknown,restricted,Default classification from source priority and repository path: confidential.,unknown,unverified,chunked,not_reviewed,not_applicable,01_RAW_SOURCES/P1_ASPERITAS_INTERNAL/(2019) 합성생물학 기반의 유전자회로 연구동향 (1).pdf,Registered local source file classified as P1/internal with confidential disclosure. Content claims require retrieval-level citation.,Document-Supported Fact,biosafety|external_comm,strategy|science|compliance|market|fundraising|operations|agent_development|rag|historical_context,public|external_unapproved
ASP-P1-54B7A02FC9E3,(2021) 합성생물학과 화이트바이오 산업,(2021) 합성생물학과 화이트바이오 산업.pdf,01_RAW_SOURCES/P1_ASPERITAS_INTERNAL/(2021) 합성생물학과 화이트바이오 산업.pdf,C:\Users\jbc89\OneDrive\Pictures\바탕 화면\asperitas-agent\01_RAW_SOURCES\P1_ASPERITAS_INTERNAL\(2021) 합성생물학과 화이트바이오 산업.pdf,54b7a02fc9e398b370cc376cb9e27a06ae54b4bf1d19a7c36e3425da8642a4ca,581984,2026-06-06T15:53:24.569217+00:00,P1,internal,confidential,uploaded,,,2026-06-11,unknown,restricted,Default classification from source priority and repository path: confidential.,unknown,unverified,chunked,not_reviewed,not_applicable,01_RAW_SOURCES/P1_ASPERITAS_INTERNAL/(2021) 합성생물학과 화이트바이오 산업.pdf,Registered local source file classified as P1/internal with confidential disclosure. Content claims require retrieval-level citation.,Document-Supported Fact,biosafety|external_comm,strategy|science|compliance|market|fundraising|operations|agent_development|rag|historical_context,public|external_unapproved
ASP-P1-2661B9CCE07A,(2023) 합성생물학 기반 신약개발 현황 및 전망,(2023) 합성생물학 기반 신약개발 현황 및 전망.pdf,01_RAW_SOURCES/P1_ASPERITAS_INTERNAL/(2023) 합성생물학 기반 신약개발 현황 및 전망.pdf,C:\Users\jbc89\OneDrive\Pictures\바탕 화면\asperitas-agent\01_RAW_SOURCES\P1_ASPERITAS_INTERNAL\(2023) 합성생물학 기반 신약개발 현황 및 전망.pdf,2661b9cce07a2d80682741764e684520f07159c68ef97e51e50f9396865cbc0e,1622907,2026-06-06T15:53:23.934561+00:00,P1,internal,confidential,uploaded,,,2026-06-11,unknown,restricted,Default classification from source priority and repository path: confidential.,unknown,unverified,chunked,not_reviewed,not_applicable,01_RAW_SOURCES/P1_ASPERITAS_INTERNAL/(2023) 합성생물학 기반 신약개발 현황 및 전망.pdf,Registered local source file classified as P1/internal with confidential disclosure. Content claims require retrieval-level citation.,Document-Supported Fact,biosafety|external_comm,strategy|science|compliance|market|fundraising|operations|agent_development|rag|historical_context,public|external_unapproved
ASP-P1-9CCAAC91F5FD,(2023) 합성생물학 핵심기술 및 활용 현황,(2023) 합성생물학 핵심기술 및 활용 현황.pdf,01_RAW_SOURCES/P1_ASPERITAS_INTERNAL/(2023) 합성생물학 핵심기술 및 활용 현황.pdf,C:\Users\jbc89\OneDrive\Pictures\바탕 화면\asperitas-agent\01_RAW_SOURCES\P1_ASPERITAS_INTERNAL\(2023) 합성생물학 핵심기술 및 활용 현황.pdf,9ccaac91f5fdcc0c5d7a9c76e909d0c1311ed0d60145485fa69afa280e53b5d8,1669697,2026-06-06T15:53:23.436347+00:00,P1,internal,confidential,uploaded,,,2026-06-11,unknown,restricted,Default classification from source priority and repository path: confidential.,unknown,unverified,chunked,not_reviewed,not_applicable,01_RAW_SOURCES/P1_ASPERITAS_INTERNAL/(2023) 합성생물학 핵심기술 및 활용 현황.pdf,Registered local source file classified as P1/internal with confidential disclosure. Content claims require retrieval-level citation.,Document-Supported Fact,biosafety|external_comm,strategy|science|compliance|market|fundraising|operations|agent_development|rag|historical_context,public|external_unapproved
ASP-P1-2EF229F8409A,(2024) 바이오파운드리 구축,(2024) 바이오파운드리 구축.pdf,01_RAW_SOURCES/P1_ASPERITAS_INTERNAL/(2024) 바이오파운드리 구축.pdf,C:\Users\jbc89\OneDrive\Pictures\바탕 화면\asperitas-agent\01_RAW_SOURCES\P1_ASPERITAS_INTERNAL\(2024) 바이오파운드리 구축.pdf,2ef229f8409abc8b197b88658378694d4da8addfa2769c2f496e3f0f555ba7b1,1473928,2026-06-06T15:52:55.974385+00:00,P1,internal,confidential,uploaded,,,2026-06-11,unknown,restricted,Default classification from source priority and repository path: confidential.,unknown,unverified,chunked,not_reviewed,not_applicable,01_RAW_SOURCES/P1_ASPERITAS_INTERNAL/(2024) 바이오파운드리 구축.pdf,Registered local source file classified as P1/internal with confidential disclosure. Content claims require retrieval-level citation.,Document-Supported Fact,external_comm,strategy|science|compliance|market|fundraising|operations|agent_development|rag|historical_context,public|external_unapproved
ASP-P1-1C75CD8048C3,(2025) 무세포 합성생물학의 연구개발 동향 및 전망,(2025) 무세포 합성생물학의 연구개발 동향 및 전망.pdf,01_RAW_SOURCES/P1_ASPERITAS_INTERNAL/(2025) 무세포 합성생물학의 연구개발 동향 및 전망.pdf,C:\Users\jbc89\OneDrive\Pictures\바탕 화면\asperitas-agent\01_RAW_SOURCES\P1_ASPERITAS_INTERNAL\(2025) 무세포 합성생물학의 연구개발 동향 및 전망.pdf,1c75cd8048c38e6fa5bc16278ab1ba7efcdf706fa281acf17ab5210fa4aeeb3b,672140,2026-06-06T15:52:55.278779+00:00,P1,internal,confidential,uploaded,,,2026-06-11,unknown,restricted,Default classification from source priority and repository path: confidential.,unknown,unverified,chunked,not_reviewed,not_applicable,01_RAW_SOURCES/P1_ASPERITAS_INTERNAL/(2025) 무세포 합성생물학의 연구개발 동향 및 전망.pdf,Registered local source file classified as P1/internal with confidential disclosure. Content claims require retrieval-level citation.,Document-Supported Fact,biosafety|external_comm,strategy|science|compliance|market|fundraising|operations|agent_development|rag|historical_context,public|external_unapproved
ASP-P1-190A43AA9BFD,(2025) 합성생물학 발전에 따른 LMO 규제 동향,(2025) 합성생물학 발전에 따른 LMO 규제 동향.pdf,01_RAW_SOURCES/P1_ASPERITAS_INTERNAL/(2025) 합성생물학 발전에 따른 LMO 규제 동향.pdf,C:\Users\jbc89\OneDrive\Pictures\바탕 화면\asperitas-agent\01_RAW_SOURCES\P1_ASPERITAS_INTERNAL\(2025) 합성생물학 발전에 따른 LMO 규제 동향.pdf,190a43aa9bfd2e4a67e5e19ecdf7586b3017985cf1b5899afcedcf8bff2353b9,697441,2026-06-06T15:52:54.549304+00:00,P1,internal,confidential,uploaded,,,2026-06-11,KR,restricted,Default classification from source priority and repository path: confidential.,unknown,unverified,chunked,not_reviewed,not_applicable,01_RAW_SOURCES/P1_ASPERITAS_INTERNAL/(2025) 합성생물학 발전에 따른 LMO 규제 동향.pdf,Registered local source file classified as P1/internal with confidential disclosure. Content claims require retrieval-level citation.,Document-Supported Fact,LMO|biosafety|external_comm|legal,strategy|science|compliance|market|fundraising|operations|agent_development|rag|historical_context,public|external_unapproved
