source_id,title,category,source_priority,source_type,url_or_query,target_folder,linked_agent,use_case,expected_format,license_status,reliability,disclosure_level,recommended_action,notes
SRC-0011,NCBI SRA,Science DB / Standard,P3,database/standard,https://www.ncbi.nlm.nih.gov/sra,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Raw sequencing archive,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Raw sequencing archive
SRC-0012,NCBI GEO,Science DB / Standard,P3,database/standard,https://www.ncbi.nlm.nih.gov/geo/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Functional genomics expression data,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Functional genomics expression data
SRC-0013,NCBI Taxonomy,Science DB / Standard,P3,database/standard,https://www.ncbi.nlm.nih.gov/taxonomy,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Taxonomic classification,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Taxonomic classification
SRC-0014,NCBI RefSeq,Science DB / Standard,P3,database/standard,https://www.ncbi.nlm.nih.gov/refseq/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Reference sequence records,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Reference sequence records
SRC-0015,NCBI BLAST,Science DB / Standard,P3,database/standard,https://blast.ncbi.nlm.nih.gov/Blast.cgi,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Sequence similarity search,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Sequence similarity search
SRC-0016,NCBI Datasets,Science DB / Standard,P3,database/standard,https://www.ncbi.nlm.nih.gov/datasets/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Programmatic genome/gene download,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Programmatic genome/gene download
SRC-0017,NCBI Variation Viewer,Science DB / Standard,P3,database/standard,https://www.ncbi.nlm.nih.gov/variation/view/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Variant context,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Variant context
SRC-0018,NCBI Conserved Domain Database,Science DB / Standard,P3,database/standard,https://www.ncbi.nlm.nih.gov/cdd/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Protein domain annotation,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Protein domain annotation
SRC-0019,NCBI ClinVar,Science DB / Standard,P3,database/standard,https://www.ncbi.nlm.nih.gov/clinvar/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Clinically reported variants; for medical context only,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Clinically reported variants; for medical context only
SRC-0020,NCBI Bookshelf,Science DB / Standard,P3,database/standard,https://www.ncbi.nlm.nih.gov/books/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Reference texts and handbooks,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Reference texts and handbooks
SRC-0021,European Nucleotide Archive ENA,Science DB / Standard,P3,database/standard,https://www.ebi.ac.uk/ena/browser/home,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,European sequence archive,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",European sequence archive
SRC-0022,EMBL-EBI Search,Science DB / Standard,P3,database/standard,https://www.ebi.ac.uk/ebisearch/overview.ebi,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Cross-resource biological search,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Cross-resource biological search
SRC-0023,EMBL-EBI Training,Science DB / Standard,P3,database/standard,https://www.ebi.ac.uk/training/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Bioinformatics training resources,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Bioinformatics training resources
SRC-0024,DDBJ,Science DB / Standard,P3,database/standard,https://www.ddbj.nig.ac.jp/index-e.html,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,DNA Data Bank of Japan,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",DNA Data Bank of Japan
SRC-0025,UniProt,Science DB / Standard,P3,database/standard,https://www.uniprot.org/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Protein sequence/function knowledgebase,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Protein sequence/function knowledgebase
SRC-0026,UniProtKB,Science DB / Standard,P3,database/standard,https://www.uniprot.org/uniprotkb,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Curated and unreviewed protein entries,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Curated and unreviewed protein entries
SRC-0027,InterPro,Science DB / Standard,P3,database/standard,https://www.ebi.ac.uk/interpro/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Protein family/domain classification,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Protein family/domain classification
SRC-0028,Pfam,Science DB / Standard,P3,database/standard,https://www.ebi.ac.uk/interpro/entry/pfam/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Protein families,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Protein families
SRC-0029,PROSITE,Science DB / Standard,P3,database/standard,https://prosite.expasy.org/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,"Protein domains, families, functional sites",HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first","Protein domains, families, functional sites"
SRC-0030,ExPASy,Science DB / Standard,P3,database/standard,https://www.expasy.org/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Bioinformatics resource portal,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Bioinformatics resource portal
SRC-0031,Gene Ontology,Science DB / Standard,P3,database/standard,http://geneontology.org/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Gene function ontology,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Gene function ontology
SRC-0032,QuickGO,Science DB / Standard,P3,database/standard,https://www.ebi.ac.uk/QuickGO/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,GO browser and annotation,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",GO browser and annotation
SRC-0033,Reactome,Science DB / Standard,P3,database/standard,https://reactome.org/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Curated pathways,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Curated pathways
SRC-0034,KEGG,Science DB / Standard,P3,database/standard,https://www.genome.jp/kegg/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,"Genomes, pathways, biochemical networks",HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first","Genomes, pathways, biochemical networks"
SRC-0035,KEGG PATHWAY,Science DB / Standard,P3,database/standard,https://www.genome.jp/kegg/pathway.html,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Pathway maps,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Pathway maps
SRC-0036,KEGG GENOME,Science DB / Standard,P3,database/standard,https://www.genome.jp/kegg/genome.html,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Genome catalog,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Genome catalog
SRC-0037,KEGG MODULE,Science DB / Standard,P3,database/standard,https://www.genome.jp/kegg/module.html,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Functional modules,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Functional modules
SRC-0038,KEGG ORTHOLOGY,Science DB / Standard,P3,database/standard,https://www.genome.jp/kegg/ko.html,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Orthology mapping,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Orthology mapping
SRC-0039,KEGG COMPOUND,Science DB / Standard,P3,database/standard,https://www.genome.jp/kegg/compound/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Compound records,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Compound records
SRC-0040,KEGG REACTION,Science DB / Standard,P3,database/standard,https://www.genome.jp/kegg/reaction/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Biochemical reactions,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Biochemical reactions
SRC-0041,KEGG ENZYME,Science DB / Standard,P3,database/standard,https://www.genome.jp/kegg/enzyme/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Enzyme entries,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Enzyme entries
SRC-0042,BioCyc,Science DB / Standard,P3,database/standard,https://biocyc.org/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Genome and metabolic pathway database collection,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Genome and metabolic pathway database collection
SRC-0043,MetaCyc,Science DB / Standard,P3,database/standard,https://metacyc.org/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Experimentally elucidated metabolic pathways,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Experimentally elucidated metabolic pathways
SRC-0044,EcoCyc,Science DB / Standard,P3,database/standard,https://ecocyc.org/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,E. coli pathway/genome database,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",E. coli pathway/genome database
SRC-0045,BioCyc Pathway Tools,Science DB / Standard,P3,database/standard,https://bioinformatics.ai.sri.com/ptools/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Pathway/genome DB software,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Pathway/genome DB software
SRC-0046,BRENDA Enzyme Database,Science DB / Standard,P3,database/standard,https://www.brenda-enzymes.org/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Enzyme functional information,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Enzyme functional information
SRC-0047,SABIO-RK,Science DB / Standard,P3,database/standard,https://sabiork.h-its.org/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Biochemical reaction kinetics,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Biochemical reaction kinetics
SRC-0048,eQuilibrator,Science DB / Standard,P3,database/standard,https://equilibrator.weizmann.ac.il/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Biochemical thermodynamics,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Biochemical thermodynamics
SRC-0049,RCSB Protein Data Bank,Science DB / Standard,P3,database/standard,https://www.rcsb.org/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Macromolecular structures,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Macromolecular structures
SRC-0050,wwPDB,Science DB / Standard,P3,database/standard,https://www.wwpdb.org/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,PDB archive governance and deposition,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",PDB archive governance and deposition
SRC-0051,AlphaFold Protein Structure Database,Science DB / Standard,P3,database/standard,https://alphafold.ebi.ac.uk/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Predicted protein structures,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Predicted protein structures
SRC-0052,SWISS-MODEL Repository,Science DB / Standard,P3,database/standard,https://swissmodel.expasy.org/repository,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Homology models,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Homology models
SRC-0053,ModelArchive,Science DB / Standard,P3,database/standard,https://modelarchive.org/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Computational models of macromolecular structures,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Computational models of macromolecular structures
SRC-0054,PDBbind,Science DB / Standard,P3,database/standard,http://www.pdbbind.org.cn/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Protein-ligand binding affinity set; check access terms,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Protein-ligand binding affinity set; check access terms
SRC-0055,PDBe-KB,Science DB / Standard,P3,database/standard,https://www.ebi.ac.uk/pdbe/pdbe-kb/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Structure-function annotations,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Structure-function annotations
SRC-0056,PubChem,Science DB / Standard,P3,database/standard,https://pubchem.ncbi.nlm.nih.gov/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Chemical information,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Chemical information
SRC-0057,ChEMBL,Science DB / Standard,P3,database/standard,https://www.ebi.ac.uk/chembl/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Bioactive molecules and assays,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Bioactive molecules and assays
SRC-0058,ChEBI,Science DB / Standard,P3,database/standard,https://www.ebi.ac.uk/chebi/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Chemical entities of biological interest,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Chemical entities of biological interest
SRC-0059,HMDB,Science DB / Standard,P3,database/standard,https://hmdb.ca/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Human metabolome database; check license,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Human metabolome database; check license
SRC-0060,MassBank,Science DB / Standard,P3,database/standard,https://massbank.eu/MassBank/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Mass spectral database,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Mass spectral database
SRC-0061,GNPS,Science DB / Standard,P3,database/standard,https://gnps.ucsd.edu/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Molecular networking and MS data,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Molecular networking and MS data
SRC-0062,Natural Products Atlas,Science DB / Standard,P3,database/standard,https://www.npatlas.org/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Microbial natural products,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Microbial natural products
SRC-0063,COCONUT Natural Products,Science DB / Standard,P3,database/standard,https://coconut.naturalproducts.net/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Open natural products database,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Open natural products database
SRC-0064,LOTUS Natural Products,Science DB / Standard,P3,database/standard,https://lotus.naturalproducts.net/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Natural products occurrence database,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Natural products occurrence database
SRC-0065,NPASS,Science DB / Standard,P3,database/standard,http://bidd.group/NPASS/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Natural product activity/species source,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Natural product activity/species source
SRC-0066,ZINC Database,Science DB / Standard,P3,database/standard,https://zinc.docking.org/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Docking-ready compounds,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Docking-ready compounds
SRC-0067,DrugBank,Science DB / Standard,P3,database/standard,https://go.drugbank.com/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Drug data; license restricted,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Drug data; license restricted
SRC-0068,BindingDB,Science DB / Standard,P3,database/standard,https://www.bindingdb.org/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Binding affinity database,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Binding affinity database
SRC-0069,GBIF,Science DB / Standard,P3,database/standard,https://www.gbif.org/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Global biodiversity occurrence data,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Global biodiversity occurrence data
SRC-0070,Catalogue of Life,Science DB / Standard,P3,database/standard,https://www.catalogueoflife.org/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Global species index,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Global species index
SRC-0071,Encyclopedia of Life,Science DB / Standard,P3,database/standard,https://eol.org/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Species information,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Species information
SRC-0072,iNaturalist,Science DB / Standard,P3,database/standard,https://www.inaturalist.org/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Citizen biodiversity observations,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Citizen biodiversity observations
SRC-0073,Plants of the World Online,Science DB / Standard,P3,database/standard,https://powo.science.kew.org/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Kew plant taxonomy and distribution,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Kew plant taxonomy and distribution
SRC-0074,World Flora Online,Science DB / Standard,P3,database/standard,https://www.worldfloraonline.org/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Global plant taxonomy,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Global plant taxonomy
SRC-0075,ITIS,Science DB / Standard,P3,database/standard,https://www.itis.gov/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Taxonomic information system,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Taxonomic information system
SRC-0076,WoRMS,Science DB / Standard,P3,database/standard,https://www.marinespecies.org/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Marine species registry,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Marine species registry
SRC-0077,BOLD Systems,Science DB / Standard,P3,database/standard,https://www.boldsystems.org/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,DNA barcoding,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",DNA barcoding
